,Headlines
0,"
								UK government U-turns on England school exam grades after uproar"
1,"
								Britain encourages at-risk groups to sign up for COVID-19 vaccine trials"
2,"
								UK household finances worsen in August over job worries"
3,"
								UK records 713 new daily cases of COVID-19"
4,"
								UK still believes an EU deal possible in September"
5,"
								England's exams regulator reverses course after grading furore"
6,"
								British government faces mounting pressure over exam row"
7,"
								Interior minister Patel says migrants see France as racist, Mail reports"
8,"
								UK daily figures show 1,040 new COVID-19 cases"
9,"
								Hong Kong's Lam resigns from honorary role at Cambridge college in UK"
